,Rank (Borda),Model,Zero-shot,Active Parameters (B),Total Parameters (B),Embedding Dimensions,Max Tokens,Mean (Task),Mean (TaskType),Bitext Mining,Classification,Clustering,Instruction Reranking,Multilabel Classification,Pair Classification,Reranking,Retrieval,STS
10,11,[jina-embeddings-v5-text-small](https://huggingface.co/jinaai/jina-embeddings-v5-text-small),⚠️ NA,0.44,0.596,1024.0,32768.0,67.0,58.9,69.71,71.32,53.41,1.35,41.97,82.93,65.66,64.88,78.85
198,199,[F2LLM-1.7B](https://huggingface.co/codefuse-ai/F2LLM-1.7B),90%,1.409,1.721,2048.0,8192.0,,,,90.14,68.49,,,89.98,,49.24,83.41
188,189,[LGAI-Embedding-Preview](https://huggingface.co/annamodels/LGAI-Embedding-Preview),90%,6.979,7.11,4096.0,32768.0,,,,89.45,61.82,,,92.79,,68.1,86.74
353,354,[Octen-Embedding-4B](https://huggingface.co/bflhc/Octen-Embedding-4B),99%,3.634,4.022,2560.0,32768.0,,,,,,,,,,74.64,
172,173,[SearchMap_Preview](https://huggingface.co/VPLabs/SearchMap_Preview),⚠️ NA,0.404,0.435,4096.0,8192.0,,49.44,28.83,69.32,50.19,0.46,4.86,81.31,90.88,48.6,70.49
211,212,[granite-embedding-small-english-r2](https://huggingface.co/ibm-granite/granite-embedding-small-english-r2),96%,0.028,0.048,384.0,8192.0,,,,62.74,50.15,,,88.85,,50.49,75.35
385,386,[Qodo-Embed-1-1.5B](https://huggingface.co/Qodo/Qodo-Embed-1-1.5B),⚠️ NA,1.31,1.543,1536.0,32768.0,,,,,,,,,,91.92,
356,357,[Octen-Embedding-0.6B](https://huggingface.co/bflhc/Octen-Embedding-0.6B),99%,0.44,0.596,1024.0,32768.0,,,,,,,,,,73.21,
202,203,[F2LLM-0.6B](https://huggingface.co/codefuse-ai/F2LLM-0.6B),90%,0.44,0.596,1024.0,8192.0,,,,90.53,65.02,,,89.13,,46.64,82.33
175,176,[Jasper-Token-Compression-600M](https://huggingface.co/infgrad/Jasper-Token-Compression-600M),90%,0.452,0.607,2048.0,32768.0,,,,89.96,61.63,,,93.63,67.54,69.09,88.45
201,202,[granite-embedding-english-r2](https://huggingface.co/ibm-granite/granite-embedding-english-r2),96%,0.11,0.149,768.0,8192.0,,,,66.03,50.8,,,88.98,,53.69,77.06
56,57,[F2LLM-v2-80M](https://huggingface.co/codefuse-ai/F2LLM-v2-80M),88%,0.032,0.08,320.0,40960.0,55.23,48.62,61.86,55.54,47.66,-1.62,21.5,74.98,58.95,50.13,68.55
391,392,[english_code_retriever](https://huggingface.co/fyaronskiy/english_code_retriever),100%,0.11,0.149,768.0,8192.0,,,,,,,,,,56.53,
